Wikidata item,Title,Authorlabel,Linkcount
http://www.wikidata.org/entity/Q8258,One Thousand and One Nights,anonymous,116
http://www.wikidata.org/entity/Q15228,The Lord of the Rings,J. R. R. Tolkien,115
http://www.wikidata.org/entity/Q480,Don Quixote,Miguel de Cervantes,113
http://www.wikidata.org/entity/Q25338,Le Petit Prince,Antoine de Saint-Exupéry,110
http://www.wikidata.org/entity/Q40591,The Communist Manifesto,Friedrich Engels,108
http://www.wikidata.org/entity/Q40591,The Communist Manifesto,Karl Marx,108
http://www.wikidata.org/entity/Q459842,Book of Mormon,Joseph Smith,106
http://www.wikidata.org/entity/Q208460,Nineteen Eighty-Four,George Orwell,102
http://www.wikidata.org/entity/Q8251,The Art of War,Sun Tzu,95
http://www.wikidata.org/entity/Q92640,Alice's Adventures in Wonderland,Lewis Carroll,93
http://www.wikidata.org/entity/Q8279,Shahnameh,Ferdowsi,93
http://www.wikidata.org/entity/Q74287,The Hobbit,J. R. R. Tolkien,91
http://www.wikidata.org/entity/Q43361,Harry Potter and the Philosopher's Stone,J. K. Rowling,86
http://www.wikidata.org/entity/Q1396889,Animal Farm,George Orwell,85
http://www.wikidata.org/entity/Q8265,Dream of the Red Chamber,Cao Xueqin,82
http://www.wikidata.org/entity/Q41675,Guinness World Records,Craig Glenday,80
http://www.wikidata.org/entity/Q48244,Mein Kampf,Adolf Hitler,80
http://www.wikidata.org/entity/Q8269,The Tale of Genji,Murasaki Shikibu,79
http://www.wikidata.org/entity/Q165318,Crime and Punishment,Fyodor Dostoyevsky,77
http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets,J. K. Rowling,77
http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,75
http://www.wikidata.org/entity/Q46887,Harry Potter and the Half-Blood Prince,J. K. Rowling,75
http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix,J. K. Rowling,75
http://www.wikidata.org/entity/Q123397,The Republic,Plato,74
http://www.wikidata.org/entity/Q170583,Pride and Prejudice,Jane Austen,74
http://www.wikidata.org/entity/Q147787,Anna Karenina,Leo Tolstoy,73
http://www.wikidata.org/entity/Q81689,The Da Vinci Code,Dan Brown,73
http://www.wikidata.org/entity/Q46751,Harry Potter and the Goblet of Fire,J. K. Rowling,73
http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows,J. K. Rowling,73
http://www.wikidata.org/entity/Q483034,Robinson Crusoe,Daniel Defoe,73
http://www.wikidata.org/entity/Q161531,War and Peace,Leo Tolstoy,72
http://www.wikidata.org/entity/Q180736,Les Misérables,Victor Hugo,71
http://www.wikidata.org/entity/Q199774,Thus Spoke Zarathustra,Friedrich Nietzsche,71
http://www.wikidata.org/entity/Q130924,Kalevala,Elias Lönnrot,70
http://www.wikidata.org/entity/Q131101,First Epistle of John,John the Evangelist,70
http://www.wikidata.org/entity/Q20124,On the Origin of Species,Charles Darwin,70
http://www.wikidata.org/entity/Q45735,Charlotte's Web,E. B. White,69
http://www.wikidata.org/entity/Q26505,The Old Man and the Sea,Ernest Hemingway,69
http://www.wikidata.org/entity/Q178869,One Hundred Years of Solitude,Gabriel García Márquez,67
http://www.wikidata.org/entity/Q183157,The Brothers Karamazov,Fyodor Dostoyevsky,66
http://www.wikidata.org/entity/Q164974,Oliver Twist,Charles Dickens,65
http://www.wikidata.org/entity/Q174596,Moby-Dick,Herman Melville,63
http://www.wikidata.org/entity/Q82464,The Picture of Dorian Gray,Oscar Wilde,63
http://www.wikidata.org/entity/Q172891,Euclid's Elements,Euclid,63
http://www.wikidata.org/entity/Q150827,Frankenstein,Mary Shelley,63
http://www.wikidata.org/entity/Q6511,Ulysses,James Joyce,62
http://www.wikidata.org/entity/Q163297,The Stranger,Albert Camus,62
http://www.wikidata.org/entity/Q41542,Dracula,Bram Stoker,62
http://www.wikidata.org/entity/Q140527,The Three Musketeers,Alexandre Dumas,62
http://www.wikidata.org/entity/Q183883,The Catcher in the Rye,J. D. Salinger,61
http://www.wikidata.org/entity/Q181937,I Ching,Fu Xi,61
http://www.wikidata.org/entity/Q205921,Philosophiae Naturalis Principia Mathematica,Isaac Newton,61
http://www.wikidata.org/entity/Q62879,A Christmas Carol,Charles Dickens,61
http://www.wikidata.org/entity/Q181488,Gulliver's Travels,Jonathan Swift,61
http://www.wikidata.org/entity/Q188563,Book of Zephaniah,Zephaniah,60
http://www.wikidata.org/entity/Q16438,The Decameron,Giovanni Boccaccio,60
http://www.wikidata.org/entity/Q127149,Lolita,Vladimir Nabokov,60
http://www.wikidata.org/entity/Q1219561,Around the World in Eighty Days,Jules Verne,59
http://www.wikidata.org/entity/Q214371,The Great Gatsby,F. Scott Fitzgerald,58
http://www.wikidata.org/entity/Q188538,The Master and Margarita,Mikhail Bulgakov,58
http://www.wikidata.org/entity/Q185118,Treasure Island,Robert Louis Stevenson,58
http://www.wikidata.org/entity/Q179021,The Alchemist,Paulo Coelho,58
http://www.wikidata.org/entity/Q58784,Das Kapital,Karl Marx,58
http://www.wikidata.org/entity/Q326914,The Adventures of Tom Sawyer,Mark Twain,56
http://www.wikidata.org/entity/Q2222,Uncle Tom's Cabin,Harriet Beecher Stowe,55
http://www.wikidata.org/entity/Q189378,Twilight,Stephenie Meyer,55
http://www.wikidata.org/entity/Q191838,The Count of Monte Cristo,Auguste Maquet,55
http://www.wikidata.org/entity/Q44996,The Oxford English Dictionary,Edmund Weiner,55
http://www.wikidata.org/entity/Q44996,The Oxford English Dictionary,John Simpson,55
http://www.wikidata.org/entity/Q189811,David Copperfield,Charles Dickens,55
http://www.wikidata.org/entity/Q183565,Twenty Thousand Leagues Under the Sea,Jules Verne,55
http://www.wikidata.org/entity/Q191838,The Count of Monte Cristo,Alexandre Dumas,55
http://www.wikidata.org/entity/Q79762,The Silmarillion,J. R. R. Tolkien,53
http://www.wikidata.org/entity/Q184222,The Metamorphosis,Franz Kafka,53
http://www.wikidata.org/entity/Q182502,Angels & Demons,Dan Brown,53
http://www.wikidata.org/entity/Q202009,Fahrenheit 451,Ray Bradbury,53
http://www.wikidata.org/entity/Q202975,Wuthering Heights,Emily Brontë,52
http://www.wikidata.org/entity/Q191949,Brave New World,Aldous Huxley,52
http://www.wikidata.org/entity/Q447,Encyclopédie,Jean le Rond d'Alembert,52
http://www.wikidata.org/entity/Q447,Encyclopédie,Denis Diderot,52
http://www.wikidata.org/entity/Q36097,The Trial,Franz Kafka,52
http://www.wikidata.org/entity/Q11191,The World Factbook,Central Intelligence Agency,52
http://www.wikidata.org/entity/Q182961,Jane Eyre,Charlotte Brontë,51
http://www.wikidata.org/entity/Q191380,The Hunchback of Notre Dame,Victor Hugo,51
http://www.wikidata.org/entity/Q172850,The Name of the Rose,Umberto Eco,51
http://www.wikidata.org/entity/Q6911,The Diary of a Young Girl,Anne Frank,51
http://www.wikidata.org/entity/Q50948,Eugene Onegin,Alexander Pushkin,51
http://www.wikidata.org/entity/Q189509,The Jungle Book,Rudyard Kipling,51
http://www.wikidata.org/entity/Q210784,The Idiot,Fyodor Dostoyevsky,50
http://www.wikidata.org/entity/Q151883,The Sorrows of Young Werther,Johann Wolfgang von Goethe,50
http://www.wikidata.org/entity/Q45192,The Hound of the Baskervilles,Arthur Conan Doyle,50
http://www.wikidata.org/entity/Q813031,Kojiki,Ō no Yasumaro,49
http://www.wikidata.org/entity/Q813031,Kojiki,Hieda no Are,49
http://www.wikidata.org/entity/Q215410,Adventures of Huckleberry Finn,Mark Twain,49
http://www.wikidata.org/entity/Q8065468,The Adventures of Pinocchio,Carlo Collodi,48
http://www.wikidata.org/entity/Q130295,The Wonderful Wizard of Oz,L. Frank Baum,48
http://www.wikidata.org/entity/Q191540,New Moon,Stephenie Meyer,48
http://www.wikidata.org/entity/Q26193,The Protocols of the Elders of Zion,Matvei Golovinski,48
http://www.wikidata.org/entity/Q215894,Candide,Voltaire,48
http://www.wikidata.org/entity/Q213019,The War of the Worlds,H. G. Wells,48
http://www.wikidata.org/entity/Q207332,All Quiet on the Western Front,Erich Maria Remarque,48
http://www.wikidata.org/entity/Q185449,Eragon,Christopher Paolini,47
http://www.wikidata.org/entity/Q11678,The Hunger Games,Suzanne Collins,47
http://www.wikidata.org/entity/Q233780,Panchatantra,Vishnu Sharma,47
http://www.wikidata.org/entity/Q485093,"The Lion, the Witch, and the Wardrobe",C. S. Lewis,47
http://www.wikidata.org/entity/Q233562,The Wealth of Nations,Adam Smith,47
http://www.wikidata.org/entity/Q28754,Paradise Lost,John Milton,46
http://www.wikidata.org/entity/Q70784,Journey to the West,Wu Cheng'en,46
http://www.wikidata.org/entity/Q106199,Commentarii de Bello Gallico,Aulus Hirtius,46
http://www.wikidata.org/entity/Q53945,Breaking Dawn,Stephenie Meyer,46
http://www.wikidata.org/entity/Q212473,Eclipse,Stephenie Meyer,46
http://www.wikidata.org/entity/Q106199,Commentarii de Bello Gallico,Julius Caesar,46
http://www.wikidata.org/entity/Q219552,Great Expectations,Charles Dickens,46
http://www.wikidata.org/entity/Q813935,Nihon Shoki,Ō no Yasumaro,45
http://www.wikidata.org/entity/Q2870,Gone with the Wind,Margaret Mitchell,45
http://www.wikidata.org/entity/Q1751870,A Game of Thrones,George R. R. Martin,45
http://www.wikidata.org/entity/Q813935,Nihon Shoki,Toneri-shinnō,45
http://www.wikidata.org/entity/Q200920,For Whom the Bell Tolls,Ernest Hemingway,45
http://www.wikidata.org/entity/Q191663,The Canterbury Tales,Geoffrey Chaucer,45
http://www.wikidata.org/entity/Q219457,A Journey to the Center of the Earth,Jules Verne,45
http://www.wikidata.org/entity/Q165068,The Tales of Beedle the Bard,J. K. Rowling,45
http://www.wikidata.org/entity/Q223131,A Study in Scarlet,Arthur Conan Doyle,45
http://www.wikidata.org/entity/Q191288,The Satanic Verses,Salman Rushdie,45
http://www.wikidata.org/entity/Q70806,Romance of the Three Kingdoms,Luo Guanzhong,44
http://www.wikidata.org/entity/Q61324,Sophie's World,Jostein Gaarder,44
http://www.wikidata.org/entity/Q220002,Critique of Pure Reason,Immanuel Kant,44
http://www.wikidata.org/entity/Q217352,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,44
http://www.wikidata.org/entity/Q200306,Gray's Anatomy,Henry Gray,44
http://www.wikidata.org/entity/Q217073,Steppenwolf,Hermann Hesse,43
http://www.wikidata.org/entity/Q211006,The Lost Symbol,Dan Brown,43
http://www.wikidata.org/entity/Q194424,Fantastic Beasts and Where to Find Them,J. K. Rowling,43
http://www.wikidata.org/entity/Q215983,The Grapes of Wrath,John Steinbeck,43
http://www.wikidata.org/entity/Q193417,Madame Bovary,Gustave Flaubert,43
http://www.wikidata.org/entity/Q44701,The Tenant of Wildfell Hall,Anne Brontë,43
http://www.wikidata.org/entity/Q837283,Fight Club,Chuck Palahniuk,42
http://www.wikidata.org/entity/Q213841,A Series of Unfortunate Events,Daniel Handler,42
http://www.wikidata.org/entity/Q332388,The Two Towers,J. R. R. Tolkien,42
http://www.wikidata.org/entity/Q272530,Records of the Grand Historian,Sima Qian,42
http://www.wikidata.org/entity/Q192258,Quidditch Through the Ages,J. K. Rowling,42
http://www.wikidata.org/entity/Q320372,The Plague,Albert Camus,42
http://www.wikidata.org/entity/Q392147,The Adventures of Sherlock Holmes,Arthur Conan Doyle,42
http://www.wikidata.org/entity/Q220331,Through the Looking-Glass,Lewis Carroll,42
http://www.wikidata.org/entity/Q206870,Doctor Zhivago,Boris Pasternak,42
http://www.wikidata.org/entity/Q218950,Prince Caspian,C. S. Lewis,41
http://www.wikidata.org/entity/Q208622,The Good Soldier Švejk,Jaroslav Hašek,41
http://www.wikidata.org/entity/Q308918,A Tale of Two Cities,Charles Dickens,41
http://www.wikidata.org/entity/Q261281,Solaris,Stanisław Lem,41
http://www.wikidata.org/entity/Q202531,Deception Point,Dan Brown,41
http://www.wikidata.org/entity/Q207964,Digital Fortress,Dan Brown,41
http://www.wikidata.org/entity/Q500688,The Sign of the Four,Arthur Conan Doyle,41
http://www.wikidata.org/entity/Q278208,Catch-22,Joseph Heller,40
http://www.wikidata.org/entity/Q332581,The Return of the King,J. R. R. Tolkien,40
http://www.wikidata.org/entity/Q235193,Clash of Civilizations,Samuel P. Huntington,40
