Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Susan Brown, Tanya E. Clement, Laura Mandell, Deb Verhoeven, Jacque Wernimont;Creating Feminist Infrastructure in the Digital Humanities;https://dblp.org/rec/conf/dihu/BrownCMVW16;https://scholar.google.com/scholar?cluster=1060823707180841281;5;Panel
Susan Brown, Kenneth M. Price, Raymond G. Siemens, Hans-Walter Gabler, Fatiha Idmhand, Thomas Lebarbé, Elena Pierazzo;The Scholarly Digital Edition: Best Practices, Guidelines, and Peer Evaluation;https://dblp.org/rec/conf/dihu/BrownPSGILP16;https://scholar.google.com/scholar?cluster=14479396846311391434;1;Panel
Amy Earhart, Alex Gil, Roopika Risam, Barbara Bordalejo, Isabel Galina, Lorna M. Hughes, Melissa Terras;Quality Matters: Diversity and the Digital Humanities in 2016;https://dblp.org/rec/conf/dihu/EarhartGRBGHT16;https://scholar.google.com/scholar?cluster=8017769506105665417;2;Panel
Maciej Eder, Fotis Jannidis, Jan Rybicki, Christof Schöch, Karina van Dalen;Literary Concepts: The Past and the Future;https://dblp.org/rec/conf/dihu/EderJRSD16;https://scholar.google.com/scholar?cluster=16539132318395939323;1;Panel
Daniel Paul O'Donnell, Barbara Bordalejo, Padmini Ray Murray, Gimena del Rio, Elena González-Blanco;Boundary Land: Diversity as a defining feature of the Digital Humanities;https://dblp.org/rec/conf/dihu/ODonnellBMRG16;https://scholar.google.com/scholar?cluster=15432304462896738404;1;Panel
Toma Tasovac, Adrien Barbaresi, Thibault Clérice, Jennifer Edmond, Natalia Ermolaev, Vicky Garnett, Clifford E. Wulfman;APIs in Digital Humanities: The Infrastructural Turn;https://dblp.org/rec/conf/dihu/TasovacBCEEGW16;https://scholar.google.com/scholar?cluster=11806990049436919865;2;Panel
Paul Atkinson, Ian N. Gregory, Catherine Porter;Combining Corpora and Statistics using Geographical Technologies: New Evidence on Nineteenth Century Infant Mortality Decline in England and Wales;https://dblp.org/rec/conf/dihu/AtkinsonGP16;https://scholar.google.com/scholar?cluster=1868873909606136891;1;Long Paper
Francesco Beretta;From Index Cards to a Digital Information System: Teaching Data Modeling to Master's Students in History;https://dblp.org/rec/conf/dihu/Beretta16;https://scholar.google.com/scholar?cluster=15997227798240034238;1;Long Paper
Monica Berti, Mary Daniels, Samantha Strickland, Kimbell Vincent-Dobbins;Modelling Taxonomies of Text Reuse in the Deipnosophists of Athenaeus of Naucratis: Declarative Digital Scholarship;https://dblp.org/rec/conf/dihu/BertiDSV16;https://scholar.google.com/scholar?cluster=8256884387998780027;1;Long Paper
Anastasia Bonch-Osmolovskaya;Two Centuries of Russian Roads - Diachronic Study of Polysemy in the Context of Cultural Change;https://dblp.org/rec/conf/dihu/Bonch-Osmolovskaya16;https://scholar.google.com/scholar?cluster=14581913050840207674;1;Long Paper
